timestamp_ns,timestamp,datetime,bandwidth_mbps,rtt_ms
1775939359141245600,1775939359.1412456,15:29:19.141,115.0,32.6484
1775939360203429500,1775939360.2034295,15:29:20.203,126.0,93.5388
1775939361133934700,1775939361.1339347,15:29:21.133,147.0,25.3285
1775939362139959600,1775939362.1399596,15:29:22.139,157.0,31.1249
1775939363146602200,1775939363.1466022,15:29:23.146,157.0,37.9857
1775939364155334700,1775939364.1553347,15:29:24.155,147.0,46.7421
1775939365146052600,1775939365.1460526,15:29:25.146,157.0,35.8494
1775939366145511900,1775939366.1455119,15:29:26.145,157.0,36.6955
1775939367149407400,1775939367.1494074,15:29:27.149,147.0,40.763
1775939368144003000,1775939368.144003,15:29:28.144,157.0,33.2448
1775939369198156600,1775939369.1981566,15:29:29.198,136.0,89.5246
1775939370139283400,1775939370.1392834,15:29:30.139,168.0,30.6907
1775939371136672500,1775939371.1366725,15:29:31.136,157.0,28.0459
1775939372152023300,1775939372.1520233,15:29:32.152,157.0,43.3927
1775939373133726800,1775939373.1337268,15:29:33.133,157.0,25.129
1775939374137687000,1775939374.137687,15:29:34.137,136.0,29.106
1775939375140166300,1775939375.1401663,15:29:35.140,147.0,31.5553
1775939376138742700,1775939376.1387427,15:29:36.138,147.0,30.0125
1775939377149463400,1775939377.1494634,15:29:37.149,168.0,40.8464
1775939378141370500,1775939378.1413705,15:29:38.141,157.0,31.7095
1775939379150194400,1775939379.1501944,15:29:39.150,157.0,41.4851
1775939380129090800,1775939380.1290908,15:29:40.129,168.0,20.3632
1775939381140444500,1775939381.1404445,15:29:41.140,157.0,31.7364
1775939382182881400,1775939382.1828814,15:29:42.182,136.0,74.1916
1775939383171056700,1775939383.1710567,15:29:43.171,94.4,62.3767
1775939384138873000,1775939384.138873,15:29:44.138,147.0,30.1878
1775939385151454000,1775939385.151454,15:29:45.151,147.0,40.9787
1775939386155129700,1775939386.1551297,15:29:46.155,147.0,46.4724
1775939387145445300,1775939387.1454453,15:29:47.145,157.0,35.3539
1775939388210344000,1775939388.210344,15:29:48.210,126.0,101.506
1775939389166547000,1775939389.166547,15:29:49.166,73.4,57.7198
1775939390137490500,1775939390.1374905,15:29:50.137,126.0,28.8191
1775939391139008000,1775939391.139008,15:29:51.139,157.0,30.2908
1775939392161088000,1775939392.161088,15:29:52.161,168.0,52.4796
1775939393142401700,1775939393.1424017,15:29:53.142,157.0,33.7414
1775939394138409600,1775939394.1384096,15:29:54.138,126.0,29.8154
1775939395151273700,1775939395.1512737,15:29:55.151,157.0,42.604
1775939396162874500,1775939396.1628745,15:29:56.162,157.0,54.1929
1775939397140407800,1775939397.1404078,15:29:57.140,168.0,30.6384
1775939398161186000,1775939398.161186,15:29:58.161,178.0,50.6019
1775939399135115900,1775939399.1351159,15:29:59.135,210.0,26.3173
1775939400132211200,1775939400.1322112,15:30:00.132,241.0,22.1417
1775939401191168500,1775939401.1911685,15:30:01.191,231.0,80.7605
1775939402138270100,1775939402.1382701,15:30:02.138,241.0,28.1275
1775939403175536400,1775939403.1755364,15:30:03.175,231.0,64.6658
1775939404126546000,1775939404.126546,15:30:04.126,252.0,17.9453
1775939405131171200,1775939405.1311712,15:30:05.131,252.0,22.5595
1775939406138495400,1775939406.1384954,15:30:06.138,262.0,28.8021
1775939407134132400,1775939407.1341324,15:30:07.134,231.0,25.5012
1775939408126783400,1775939408.1267834,15:30:08.126,294.0,17.6303
1775939409133783800,1775939409.1337838,15:30:09.133,283.0,22.7185
1775939410134496500,1775939410.1344965,15:30:10.134,304.0,24.1854
1775939411138728600,1775939411.1387286,15:30:11.138,315.0,27.7572
1775939412124666700,1775939412.1246667,15:30:12.124,231.0,16.0901
1775939413123716600,1775939413.1237166,15:30:13.123,315.0,15.1149
1775939414157123800,1775939414.1571238,15:30:14.157,273.0,48.5071
1775939415130612000,1775939415.130612,15:30:15.130,294.0,22.0465
1775939416127681500,1775939416.1276815,15:30:16.127,220.0,19.0833
1775939417119743600,1775939417.1197436,15:30:17.119,294.0,11.1254
1775939418134384200,1775939418.1343842,15:30:18.134,262.0,22.9269
1775939419131940600,1775939419.1319406,15:30:19.131,294.0,23.3204
1775939420137510300,1775939420.1375103,15:30:20.137,262.0,25.3477
1775939421128131400,1775939421.1281314,15:30:21.128,283.0,19.4128
1775939422128430600,1775939422.1284306,15:30:22.128,262.0,19.7481
1775939423124010800,1775939423.1240108,15:30:23.124,304.0,15.3075
1775939424129323000,1775939424.129323,15:30:24.129,262.0,20.5732
1775939425130433000,1775939425.130433,15:30:25.130,220.0,21.7812
1775939426134447600,1775939426.1344476,15:30:26.134,199.0,25.7355
1775939427144624700,1775939427.1446247,15:30:27.144,168.0,35.8698
1775939428133433000,1775939428.133433,15:30:28.133,157.0,24.744
1775939429126977200,1775939429.1269772,15:30:29.126,147.0,18.3719
1775939430147739000,1775939430.147739,15:30:30.147,126.0,36.622
1775939431144352700,1775939431.1443527,15:30:31.144,168.0,33.6752
1775939432144545300,1775939432.1445453,15:30:32.144,157.0,35.7859
1775939433135777700,1775939433.1357777,15:30:33.135,168.0,27.05
1775939434139252400,1775939434.1392524,15:30:34.139,178.0,30.6663
1775939435141123300,1775939435.1411233,15:30:35.141,136.0,32.1423
1775939436174002400,1775939436.1740024,15:30:36.174,157.0,65.3758
1775939437152959800,1775939437.1529598,15:30:37.152,94.4,44.2608
1775939438156853700,1775939438.1568537,15:30:38.156,115.0,47.1889
1775939439178867800,1775939439.1788678,15:30:39.178,52.4,70.1104
1775939440185312300,1775939440.1853123,15:30:40.185,94.4,76.5834
1775939441159336800,1775939441.1593368,15:30:41.159,62.9,50.7538
1775939442168969200,1775939442.1689692,15:30:42.168,62.9,60.3787
1775939443233347200,1775939443.2333472,15:30:43.233,52.4,124.6413
1775939444203409400,1775939444.2034094,15:30:44.203,41.9,94.5577
1775939445174606300,1775939445.1746063,15:30:45.174,62.9,65.8336
1775939446168099000,1775939446.168099,15:30:46.168,62.9,59.3837
1775939447200822400,1775939447.2008224,15:30:47.200,73.4,92.1056
1775939448159780500,1775939448.1597805,15:30:48.159,62.9,51.0025
1775939449155845200,1775939449.1558452,15:30:49.155,83.9,47.1281
1775939450168323000,1775939450.168323,15:30:50.168,73.4,59.6611
1775939451166701300,1775939451.1667013,15:30:51.166,73.4,57.9629
1775939452165531900,1775939452.1655319,15:30:52.165,73.4,56.754
1775939453167701500,1775939453.1677015,15:30:53.167,62.9,59.0093
1775939454146384700,1775939454.1463847,15:30:54.146,94.4,36.9099
1775939455142310900,1775939455.1423109,15:30:55.142,126.0,33.7176
1775939456125550700,1775939456.1255507,15:30:56.125,168.0,16.5065
1775939457141710800,1775939457.1417108,15:30:57.141,199.0,30.6218
1775939458140372300,1775939458.1403723,15:30:58.140,157.0,31.7743
1775939459123828600,1775939459.1238286,15:30:59.123,231.0,15.0682
1775939460159077400,1775939460.1590774,15:31:00.159,147.0,50.2882
1775939461137060200,1775939461.1370602,15:31:01.137,168.0,28.448
1775939462197440600,1775939462.1974406,15:31:02.197,126.0,88.0156
1775939463158440600,1775939463.1584406,15:31:03.158,41.9,49.5203
1775939464214091500,1775939464.2140915,15:31:04.214,62.9,105.4575
1775939465172073800,1775939465.1720738,15:31:05.172,41.9,63.4402
1775939466262646200,1775939466.2626462,15:31:06.262,41.9,153.9451
1775939467222077000,1775939467.222077,15:31:07.222,31.5,113.1266
1775939468197633300,1775939468.1976333,15:31:08.197,41.9,88.8139
1775939469203428700,1775939469.2034287,15:31:09.203,42.0,94.7249
1775939470274639400,1775939470.2746394,15:31:10.274,31.5,165.8145
1775939471516927500,1775939471.5169275,15:31:11.516,21.0,408.0755
1775939472639279600,1775939472.6392796,15:31:12.639,21.0,530.4701
1775939473423371300,1775939473.4233713,15:31:13.423,10.5,314.4851
1775939474291908000,1775939474.291908,15:31:14.291,10.5,182.5185
1775939475363444800,1775939475.3634448,15:31:15.363,21.0,254.0448
1775939476239632400,1775939476.2396324,15:31:16.239,21.0,130.7904
1775939477243093000,1775939477.243093,15:31:17.243,31.5,134.3258
1775939478193132400,1775939478.1931324,15:31:18.193,31.5,84.3372
1775939479237291600,1775939479.2372916,15:31:19.237,31.5,128.4323
1775939480247288200,1775939480.2472882,15:31:20.247,31.5,138.5066
1775939481306330000,1775939481.30633,15:31:21.306,41.9,196.7012
1775939482203481200,1775939482.2034812,15:31:22.203,31.5,94.7843
1775939483200122000,1775939483.200122,15:31:23.200,31.5,91.2813
1775939484210425400,1775939484.2104254,15:31:24.210,42.0,101.8266
1775939485224961300,1775939485.2249613,15:31:25.224,41.9,116.1954
1775939486168220500,1775939486.1682205,15:31:26.168,41.9,59.4383
1775939487197013000,1775939487.197013,15:31:27.197,62.9,88.359
